Block,Latency,Size,,
1,14 ms,290 B,,
2,15 ms,462 B,,
3,145 ms,464 B,,
4,80 ms,464 B,,
5,37 ms,463 B,,
6,143 ms,464 B,,
7,84 ms,464 B,,
8,315 ms,464 B,,
9,72 ms,464 B,,
10,60 ms,465 B,,
11,44 ms,464 B,,
12,290 ms,465 B,,
13,407 ms,466 B,,
14,220 ms,465 B,,
15,455 ms,466 B,,
16,29 ms,464 B,,
17,82 ms,465 B,,
18,340 ms,466 B,,
19,172 ms,465 B,,
20,163 ms,465 B,,
21,283 ms,465 B,,
22,740 ms,466 B,,
23,450 ms,466 B,,
24,178 ms,465 B,,
25,539 ms,466 B,,
26,199 ms,465 B,,
27,70 ms,465 B,,
28,139 ms,465 B,,
29,134 ms,465 B,,
30,244 ms,465 B,,
31,285 ms,465 B,,
32,256 ms,465 B,,
33,240 ms,465 B,,
34,605 ms,466 B,,
35,41 ms,464 B,,
36,248 ms,465 B,,
37,104 ms,465 B,,
38,101 ms,465 B,,
39,368 ms,466 B,,
40,30 ms,464 B,,
41,157 ms,465 B,,
42,193 ms,465 B,,
43,261 ms,465 B,,
44,75 ms,465 B,,
45,38 ms,464 B,,
46,261 ms,465 B,,
47,649 ms,466 B,,
48,101 ms,465 B,,
49,163 ms,465 B,,
50,526 ms,466 B,,
51,844 ms,466 B,,
52,800 ms,466 B,,
53,599 ms,466 B,,
54,235 ms,465 B,,
55,184 ms,465 B,,
56,346 ms,465 B,,
57,441 ms,466 B,,
58,454 ms,466 B,,
59,14 ms,464 B,,
60,431 ms,466 B,,
61,132 ms,465 B,,
62,127 ms,465 B,,
63,420 ms,466 B,,
64,18 ms,464 B,,
65,499 ms,466 B,,
66,294 ms,465 B,,
67,295 ms,465 B,,
68,70 ms,465 B,,
69,568 ms,466 B,,
70,55 ms,465 B,,
71,33 ms,464 B,,
72,80 ms,465 B,,
73,73 ms,465 B,,
74,247 ms,465 B,,
75,462 ms,466 B,,
76,112 ms,465 B,,
77,70 ms,465 B,,
78,98 ms,465 B,,
79,26 ms,464 B,,
80,31 ms,464 B,,
81,97 ms,465 B,,
82,90 ms,465 B,,
83,1118 ms,466 B,,
84,349 ms,466 B,,
85,138 ms,465 B,,
86,45 ms,465 B,,
87,248 ms,465 B,,
88,104 ms,465 B,,
89,1044 ms,466 B,,
90,24 ms,464 B,,
91,213 ms,465 B,,
92,882 ms,466 B,,
93,43 ms,465 B,,
94,89 ms,465 B,,
95,300 ms,465 B,,
96,265 ms,465 B,,
97,174 ms,465 B,,
98,157 ms,465 B,,
99,225 ms,465 B,,
100,186 ms,466 B,,
101,122 ms,466 B,,
102,107 ms,466 B,,
103,77 ms,466 B,,
104,838 ms,467 B,,
105,75 ms,466 B,,
106,182 ms,466 B,,
107,115 ms,466 B,,
108,126 ms,466 B,,
109,142 ms,466 B,,
110,490 ms,467 B,,
111,72 ms,466 B,,
112,375 ms,467 B,,
113,123 ms,466 B,,
114,143 ms,466 B,,
115,83 ms,466 B,,
116,179 ms,466 B,,
117,122 ms,466 B,,
118,360 ms,467 B,,
119,115 ms,466 B,,
120,134 ms,466 B,,
121,423 ms,467 B,,
122,230 ms,466 B,,
123,122 ms,466 B,,
124,572 ms,467 B,,
125,67 ms,466 B,,
126,367 ms,467 B,,
127,57 ms,466 B,,
128,378 ms,467 B,,
129,193 ms,466 B,,
130,185 ms,466 B,,
131,96 ms,466 B,,
132,239 ms,466 B,,
133,73 ms,466 B,,
134,113 ms,466 B,,
135,519 ms,467 B,,
136,180 ms,466 B,,
137,229 ms,466 B,,
138,136 ms,466 B,,
139,70 ms,466 B,,
140,37 ms,465 B,,
141,403 ms,467 B,,
142,30 ms,465 B,,
143,92 ms,466 B,,
144,270 ms,466 B,,
145,185 ms,466 B,,
146,112 ms,466 B,,
147,591 ms,466 B,,
148,205 ms,466 B,,
149,168 ms,466 B,,
150,317 ms,467 B,,
151,27 ms,465 B,,
152,641 ms,467 B,,
153,531 ms,467 B,,
154,234 ms,466 B,,
155,174 ms,466 B,,
156,227 ms,466 B,,
157,37 ms,465 B,,
158,533 ms,467 B,,
159,588 ms,467 B,,
160,241 ms,466 B,,
161,62 ms,466 B,,
162,170 ms,466 B,,
163,155 ms,466 B,,
164,26 ms,465 B,,
165,183 ms,466 B,,
166,23 ms,465 B,,
167,22 ms,464 B,,
168,233 ms,466 B,,
169,391 ms,466 B,,
170,262 ms,466 B,,
171,151 ms,466 B,,
172,72 ms,466 B,,
173,478 ms,466 B,,
174,77 ms,466 B,,
175,66 ms,466 B,,
176,72 ms,466 B,,
177,243 ms,466 B,,
178,551 ms,467 B,,
179,100 ms,466 B,,
180,139 ms,466 B,,
181,369 ms,466 B,,
182,79 ms,466 B,,
183,195 ms,466 B,,
184,37 ms,465 B,,
185,551 ms,467 B,,
186,259 ms,466 B,,
187,104 ms,466 B,,
188,45 ms,465 B,,
